Ы,,Скидочные условия на разовую покупку: ,,,,,
"Мин. заказ на позицию и шаг 250 гр для рассыпных, 1 шт для пресса",,От 30 000,2%,От 250 000,12%,,
Доставка по РФ компанией СДЭК,,От 40 000 ,3%,От 300 000 ,13%,,
,,От 60 000,4%,От 350 000,14%,,
,,От 80 000,5%,От 400 000,15%,,
Статус наличия:,,От 100 000,6%,От 450 000,16%,,
"Есть в наличии г. Пермь, ул. Луначарского 62 ""Айрочай""",,От 120 000,7%,От 500 000 ,17%,,
Скоро в наличии,,От 140 000 ,8%,От 550 000,18%,,
Под заказ,,От 160 000,9%,От 600 000,19%,,
Временно нет в наличии,,От 180 000,10%,От 700 000,20%,,
Скидка 5%,,От 200 000,11%,Заказы при больших суммах рассматриваются на индивидуальных условиях.,,,
,,,,,,,
Наименование,"Вес, кг","Цена, ₽",Кол-во,"Всего, ₽",Описание,Ссылка на фото,Фасовка
Габа Дикий Мед,1,6995,,0,,,
Габа Рубиновая,1,6995,,0,,,
Габа Тегуанинь,1,7995,,0,,,
Габа Золотой Улун,1,8995,,0,,,
Габа Цзинь Сюань,1,6995,,0,,,
Габа Жоу Гуй,1,7995,,0,,,
Габа Бай Ча,"0,1",599,,0,,,
Габа Да Хун Пао Мао Ча (черенки),1,1999,,0,,,
Габа Хун Ча,1,5995,,0,,,
Габа Шэн Пуэр,1,7995,,0,,,
Габа Шэн Пуэр в/с,1,8995,,0,,,
Габа Тегуанинь Мао Ча,1,7995,,0,,,
Габа Шампанское,1,8995,,0,,,
Габа Рубин Ли Шань,1,9999,,0,,,
Габа Красный Нефрит,1,9999,,0,,,
Габа Сан Лин Сы,1,10995,,0,,,
Габа Фиватэсуан,1,8995,,0,,,
Габа А Ли Шань Original,1,10995,,0,,,
"Габа Да Хун Пао, плитка, 2025г.","0,1",695,,0,,,
"Габа Сапфир, 2025г.",1,9890,,0,,,
Габа Мао Ча,1,1995,,0,,,
Тайваньский улун,,,,,,,
Дун Дин Цин Сян,1,4995,,0,,,
"Байсянго Улун ""Маракуйя""",1,4995,,0,,,
"Гуй Хуа ""Османтус""",1,4995,,0,,,
"Шуй Ми Тао ""Персик""",1,4995,,0,,,
"Дун Дин Тань Бэй, Весна 2025 г.",1,9995,,0,,,
Красный чай,,,,,,,
Е Шэн Хун Ча 1/с,1,3995,,0,,,
Е Шэн Хун Ча в/с,1,4995,,0,,,
Е Шэн Хун Лао Шоунин,1,6995,,0,,,
Цзы Хун(фиолетовый красный),1,4995,,0,,,
Дяньхун Би Ло Голд,1,9995,,0,,,
Лунцзин Хун Ча,1,4995,,0,,,
Ин Хун 9 с лимонником,1,4995,,0,,,
Сяочжун Чжень Шань 1/с,1,2495,,0,,,
Сяочжун Чжень Шань в/с,1,2999,,0,,,
Сяочжун 20,1,2995,,0,,,
Дяньхун Юннань,1,2995,,0,,,
Дяньхун Синь Ван Чжу,1,3495,,0,,,
Дяньхун Мао Фэн,1,2995,,0,,,
Инь Цзюнь Мэй,1,3495,,0,,,
Сяочжун кат. А,1,3495,,0,,,
Гу Шу Хун Ча,1,2995,,0,,,
Цзинь Цзюнь Мэй,1,4995,,0,,,
"Дянь Хун Да Цзинь Чжэнь Синь Ван Чжу, Весна 2025 г.",1,7995,,0,,,
Дяньхун Цзинь Я Синь Ван Чжу,1,6995,,0,,,
"Хэй Цзинь, Весна 2025 г.",1,2885,,0,,,
Сяочжун Чжэнь Шань,1,3495,,0,,,
Дяньхун Да Е,1,1995,,0,,,
Зелёный чай,,,,,,,
Лунцзин Лю Доу,1,3995,,0,,,
Лунцзин Хуан Доу,1,4995,,0,,,
Лунцзин Премиум,1,10995,,0,,,
"Мао Цзянь, Премиум, Осень 2024 г. ",1,4995,,0,"Мао Цзянь или ворсистые лезвия – это знаменитый сорт зеленого Китайского чая из провинции Хэнань. Плантации располагаются в горном районе уезда Синьян.
Благодаря ручной обработке Мао Цзянь богат витаминами и аминокислотами. Такой чай усиливает защитные функции организма, снимает напряжение и помогает сконцентрироваться.",https://disk.yandex.ru/i/_UH7W7lJbpwojQ,
Лунцзин Хё На,1,6995,,0,,,
Синь Янь Мао Цзянь,1,5995,,0,,https://disk.yandex.ru/i/JQ1vRFAv1bmWHA,
Жасмин почки Прем,1,9995,,0,,,
Мо Ли Мао Цзянь,1,1995,,0,,,
Мао Цзянь 2025 Г.,1,1995,,0,,,
Мо Ли Хуа Ча  ,1,2495,,0,,,
Белый чай россыпь,,,,,,,
"Юэ Гуанбай в/с, Осень 2024 г.",1,5795,,0,"Крупное сырье, почки и листья с серебряным ворсом. 
Аромат фантастический, очень яркий, сложный. Сладость, смородиновый лист, кислинка белой смородины.
Вкус умопомрачительный! Очень мягкий, сладкий, легкий. Сложно описать понятными терминами.  Сахарная вата, ванильная газировка,  легкая железистая терпкость. Привкус лакрицы, сливочного крема. 
Эффект полного отрешения от мирской суеты гарантирован.",,
Шоу Мэй,1,3995,,0,,,
Гун Мэй,1,4495,,0,,,
Лао Гун Мэй,1,4995,,0,,,
"Бай Хао Юньнань, Весна 2025 г.",1,5995,,0,,,
Лао Бай Му Дань,1,3995,,0,,,
Бай Му Дань 2025г.,1,5995,,0,,,
Бай Хао Юньнань Синь Ван Чжу,1,6495,,0,,,
Желтый чай,,,,,,,
"Хуо Шань Хуан Я, 1/с, весна 2025",1,9999,,0,"Оригинальный жёлтый чай из провинции Аньхой. Яркий, выразительный, с нотками чёрной смородины и цветов. Сочный, освежающий, слегка терпкий, с нектаровыми, ягодными и цветочными нотками и долгим, сладким послевкусием, воздействие опьяняюще- тонизирующее",,
"Добавки, травы, коренья и т.п.",,,,,,,
Чон Ши Ча,1,6995,,0,,,
Ку Цяо,1,1999,,0,,,
Ку Цяо Тань Бэй,1,1999,,0,,,
"Я Бао, Премиум",1,8995,,0,,,
"Саган-дайля(Рододендрон Адамса), Весна 2025 г. ",1,5995,,0,"Шаманские травы прямиком из Бурятии, села Орлик! Саган-дайля издревле известна своими тонизирующим эффектом, микс Пуэра и Сагана- это самый серьёзный тонус, что только можно получить от чайка) Содержит у себя на вооружении огромное количество полезных для нашего организма дубильных веществ, аминокислот и громадное количество витамина С! вкус и аромат травянисто-хвойного профиля, присутствует лёгкая полынная терпкость. Новинка, мимо которой нельзя пройти)",https://vk.com/market/product/sagan-daylya-rododendron-adamsa-180916103-8468898,
Травяной сбор «Тонизирующий»,1,1995,,0,,,
Травяной сбор «Добрый сон»,1,1995,,0,,,
"Кудин ""Гвозди"" (падуб широколистный)",1,2820,,0,,,
"Ку Цяо Гречиха, Элит ",1,2980,,0,"Сладкая, ароматная, с максимально приятным и долгоиграющим послевкусием, как ни странно, одновременно и сливочных, и нот жжёной карамели. Абсолютно бескофеиновый напиток- без любого намека на опасения за спокойствие своего сна, пейте перед сном",https://vk.com/market/product/grechishny-ku-tsyao-elit-180916103-9207330,
Кожура Мандарина,1,8440,,0,,,
Цветочный Связанный Чай,1,4995,,0,,,
Пакеты Дой-Пак с Zip-Lock(Минимум 1уп./50шт.),,,,,,,
Черный 105*150мм,50шт./1уп.,700,,0,,,
Черный 150*210мм,50шт./1уп.,850,,0,,,
Черный 135*200мм,50шт./1уп.,1200,,0,,,
"Стаканы и крышки (минимум один рукав, крышки- 0,5 рукава)",,,,,,,
"Стаканы 0,4л",50шт./1уп.,450,,0,,,
Крышки 80 мм,100шт./1уп.,380,,0,,,
Тара(Банки для хранения чая),,,,,,,
Оцинкованная железная,1,180,,0,,,
Красная с иероглифами,1,180,,0,,,
Красная вакуумная,1,540,,0,,,
Красная малая,1,660,,0,,,
Китайский чай в Пирамидках  ,,,,,,,
"Шу Пуэр Гунтин Юндэ, 2015 г, Пирамидки 2 гр., 500 шт.",1,5375,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466095%2Fquery,
"Шэн Пуэр Биндао, 2019 г, Пирамидки 2 гр., 500 шт.",1,7186,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466307%2Fquery,
"Тегуанинь Го Сян, Осень 2022 г, Пирамидки 2 гр., 500 шт.",1,5438,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466239%2Fquery,
"Зеленый Мао Цзянь, Осень 2022 г, Пирамидки 2 гр., 500 шт.",1,6375,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466200%2Fquery,
"Тайвань улун Дун Дин Цин Сян, Пирамидки 2 гр., 500 шт.",1,7000,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466263%2Fquery,
"Да Хун Пао, Нун Сян, Пирамидки 2 гр., 500 шт.",1,6375,,0,,https://vk.com/market-180916103?section=album_14&w=product-180916103_7466285%2Fquery,
,,,СУММА,0,,,
